Charakteryzują	,charakteryzować	,fin:pl:ter:imperf	,	,
się	,się	,qub	,	,
czystą	,czysty	,adj:sg:inst:f:pos	,X	,M
linią	,linia	,subst:sg:inst:f	,X	,M
-	,-	,interp	,	,
należą	,należeć	,fin:pl:ter:imperf	,	,
do	,do	,prep:gen	,	,
najbardziej	,bardzo	,adv:sup	,	,
eleganckich	,elegancki	,adj:pl:gen:m3:pos	,X	,L
rodzajów	,rodzaj	,subst:pl:gen:m3	,X	,L
męskich	,męski	,adj:pl:gen:m3:pos	,X	,L
butów	,but	,subst:pl:gen:m3	,X	,L
.	,.	,interp	,	,
&,,,,
Chów	,chów	,subst:sg:nom:m3	,	,
wsobny	,wsobny	,adj:sg:nom:m3:pos	,	,
jest	,być	,fin:sg:ter:imperf	,	,
również	,również	,qub	,	,
metodą	,metoda	,subst:sg:inst:f	,	,
pozyskiwania	,pozyskiwać	,ger:sg:gen:n:imperf:aff	,	,
tzw	,tak_zwany	,brev:pun	,	,
.	,.	,interp	,	,
czystych	,czysty	,adj:pl:gen:f:pos	,X	,M
linii	,linia	,subst:pl:gen:f	,X	,M
osobników	,osobnik	,subst:pl:gen:m1	,	,
o	,o	,prep:loc	,	,
dużym	,duży	,adj:sg:loc:m3:pos	,X	,M
stopniu	,stopień	,subst:sg:loc:m3	,X	,M
homozygotyczności	,homozygotyczność	,subst:sg:gen:f	,	,
.	,.	,interp	,	,
&,,,,
Bazując	,bazować	,pcon:imperf	,	,
na	,na	,prep:loc	,	,
konstrukcji	,konstrukcja	,subst:sg:loc:f	,	,
Ki-49	,Ki-49	,ign	,	,
",	",",	",interp	,	,
konstruktorzy	,konstruktor	,subst:pl:nom:m1	,	,
Nakajimy	,Nakajimy	,ign	,	,
opracowali	,opracować	,praet:pl:m1:perf	,	,
projekt	,projekt	,subst:sg:acc:m3	,	,
samolotu	,samolot	,subst:sg:gen:m3	,	,
o	,o	,prep:loc	,	,
bardzo	,bardzo	,adv:pos	,	,
czystej	,czysty	,adj:sg:loc:f:pos	,X	,M
linii	,linia	,subst:sg:loc:f	,X	,M
aerodynamicznej	,aerodynamiczny	,adj:sg:loc:f:pos	,	,
.	,.	,interp	,	,
&,,,,
Gmach	,gmach	,subst:sg:acc:m3	,	,
charakteryzują	,charakteryzować	,fin:pl:ter:imperf	,	,
proste	,prosty	,adj:pl:nom:f:pos	,	,
",	",",	",interp	,	,
czyste	,czysty	,adj:pl:nom:f:pos	,X	,M
linie	,linia	,subst:pl:nom:f	,X	,M
",	",",	",interp	,	,
racjonalne	,racjonalny	,adj:sg:nom:n:pos	,X	,L
